,firm,area,km,cost,year of prudaction,tracks,commercial,private
0,65,23,180000,10000,2002,0,0,1
1,109,13,129000,70000,2009,0,0,1
2,138,6,167000,24000,2010,0,0,1
3,87,13,141542,34000,2010,0,0,1
4,62,21,169000,15900,2007,0,0,1
5,183,3,159000,24000,2014,0,0,1
6,164,28,150000,46000,2016,0,0,1
7,110,28,293000,109500,2008,0,0,1
9,65,21,99000,69900,2017,0,0,1
10,182,28,112000,47000,2016,0,0,1
12,61,23,59000,110000,2018,0,0,1
13,47,28,105000,95000,2018,0,0,1
14,87,13,300000,23500,2010,0,0,1
15,181,3,163000,8000,2010,0,0,1
16,155,5,127000,47000,2014,0,0,1
17,64,23,198000,33900,2008,0,0,1
18,56,21,146000,63900,2017,0,0,1
19,87,13,85000,91200,2018,0,0,1
20,192,23,149000,22000,2014,0,0,1
21,211,26,55000,67000,2019,0,0,1
22,9,16,152000,23000,2013,0,0,1
23,71,29,150000,33000,2013,0,0,1
24,65,23,230000,14000,2005,0,0,1
25,65,21,37000,87000,2018,0,0,1
26,196,21,99000,36900,2015,0,0,1
27,139,21,116000,54900,2015,0,0,1
28,204,31,110000,112000,2018,0,0,1
29,187,31,17000,67000,2019,0,0,1
30,69,6,10000,87000,2021,0,0,1
32,110,26,290000,72000,2008,0,0,1
33,178,30,217000,30200,2011,0,0,1
34,161,23,38000,72000,2019,0,0,1
35,153,23,102000,78000,2017,0,0,1
36,0,16,99180,36000,1991,0,0,1
37,144,16,165000,8910,2003,0,0,1
38,153,31,206123,22000,2011,0,0,1
39,168,29,128000,65000,2016,0,0,1
40,195,21,109000,16900,2015,0,0,1
41,75,4,108500,68000,2017,0,0,1
42,29,6,108000,158000,2017,0,0,1
43,89,23,33000,119000,2019,0,0,1
44,215,11,135000,48000,2011,0,0,1
45,47,21,91000,61900,2017,0,0,1
46,66,16,185000,6950,2006,0,0,1
47,216,31,301000,9000,2007,0,0,1
48,52,31,21000,135000,2018,0,0,1
49,45,11,31000,81000,2019,0,0,1
50,28,23,199000,19900,2007,0,0,1
51,211,21,93000,48000,2015,0,0,1
52,198,21,128000,62900,2013,0,0,1
53,3,23,94000,80000,2014,0,0,1
54,223,16,180000,27000,2013,0,0,1
55,197,21,93000,35900,2015,0,0,1
56,137,26,200900,6700,2006,0,0,1
57,227,19,120000,72000,2017,0,0,1
58,47,8,220000,28000,2010,0,0,1
59,103,16,185000,23000,2014,0,0,1
60,52,22,105000,106500,2017,0,0,1
61,205,30,66000,112000,2018,0,0,1
62,62,34,76000,61000,2016,0,0,1
63,225,16,87000,22000,2011,0,0,1
64,182,22,140000,16000,2012,0,0,1
65,238,23,183000,15900,2012,0,0,1
66,140,17,77000,54000,2017,0,0,1
67,87,21,33000,93000,2019,0,0,1
68,48,25,165000,18000,2008,0,0,1
69,156,18,170000,21500,2014,0,0,1
70,117,23,119000,96000,2016,0,0,1
71,117,21,125000,90900,2018,0,0,1
72,211,21,127000,36900,2015,0,0,1
73,29,3,99000,184000,2017,0,0,1
74,74,32,31000,102000,2019,0,0,1
75,2,23,54000,137900,2017,0,0,1
76,144,31,168000,20000,2011,0,0,1
77,87,32,35000,82000,2018,0,0,1
78,132,26,67000,31000,2014,0,0,1
79,46,22,268000,10000,2005,0,0,1
