,car_type,firm,area,km,cost,year of prudaction,time of ad
0,רכב פרטי,סוזוקי - סוויפט,בקעת אונו,167000,"24,000 ₪",2010,6 שעות 
1,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,141542,"34,000 ₪",2010,4 שעות 
2,רכב פרטי,טויוטה - יאריס,מושבים בשרון,169000,"15,900 ₪",2007,1 ימים 
3,רכב פרטי,טויוטה - קורולה,נתניה והסביבה,180000,"10,000 ₪",2002,1 ימים 
4,רכב פרטי,מרצדס - E-CLASS,חיפה וחוף הכרמל,129000,"70,000 ₪",2009,4 שעות 
5,רכב פרטי,מרצדס - S-CLASS,קריות,293000,"109,500 ₪",2008,8 שעות 
6,רכב פרטי,פולקסווגן - גולף,קריות,150000,"46,000 ₪",2016,9 שעות 
7,רכב פרטי,טויוטה - קורולה,מושבים בשרון,99000,"69,900 ₪",2017,1 ימים 
8,רכב פרטי,יונדאי - סונטה,נתניה והסביבה,155000,לא צויין,2016,1 ימים 
9,רכב פרטי,פורד - פיאסטה,אשדוד - אשקלון,159000,"24,000 ₪",2014,8 שעות 
10,רכב פרטי,הונדה - סיוויק האצ’בק החדשה,קריות,105000,"95,000 ₪",2018,9 שעות 
11,רכב פרטי,פורד - פוקוס,קריות,112000,"47,000 ₪",2016,10 שעות 
12,רכב פרטי,טויוטה - ורסו,נתניה והסביבה,59000,"110,000 ₪",2018,1 ימים 
13,רכב פרטי,סוזוקי - קרוסאובר,רמת השרון - הרצליה,0,לא צויין,2022,1 ימים 
14,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,300000,"23,500 ₪",2010,12 שעות 
15,רכב פרטי,טויוטה - אוריס,מושבים בשרון,146000,"63,900 ₪",2017,1 ימים 
16,רכב פרטי,סקודה - סופרב,בית שמש והסביבה,127000,"47,000 ₪",2014,1 ימים 
17,רכב פרטי,מאזדה - 3,חיפה וחוף הכרמל,85000,"91,200 ₪",2018,1 ימים 
18,רכב פרטי,טויוטה - קאמרי,נתניה והסביבה,198000,"33,900 ₪",2008,1 ימים 
19,רכב פרטי,פורד - מונדאו,אשדוד - אשקלון,163000,"8,000 ₪",2010,1 ימים 
20,רכב פרטי,פיג’ו - 5008,מושבים בשרון,99000,"36,900 ₪",2015,1 ימים 
21,רכב פרטי,טויוטה - קורולה,נתניה והסביבה,230000,"14,000 ₪",2005,2 ימים 
22,רכב פרטי,פורד - גלאקסי,רמלה - לוד,217000,"30,200 ₪",2011,1 ימים 
23,רכב פרטי,פולקסווגן - פאסאט,"ראשל""צ והסביבה",128000,"65,000 ₪",2016,2 ימים 
24,רכב פרטי,יונדאי - i30cw,"ראשל""צ והסביבה",150000,"33,000 ₪",2013,1 ימים 
25,רכב פרטי,קיה - פיקנטו,פתח תקוה והסביבה,55000,"67,000 ₪",2019,2 ימים 
26,רכב פרטי,סקודה - ראפיד,נתניה והסביבה,38000,"72,000 ₪",2019,1 ימים 
